Name,Cmpg,Hmpg,Eng,Cyl,Vol,Drive,Class
Acura RL 3.7L,17,24,3.7,6,1.13,A,MI
Acura TL 2wd 3.5L,18,26,3.5,6,1.11,F,MI
Acura TL 4wd 3.7L,17,25,3.7,6,1.11,A,MI
Aston Martin DB9 5.9L,13,20,5.9,12,0.83,R,MC
Aston Martin DBS 5.9L,12,18,5.9,12,0.83,R,MC
Aston Martin Rapide 5.9L,13,19,5.9,12,0.97,R,SC
Audi A3 2L,22,28,2.0,4,1.09,F,SW
Audi A3 Quattro 2L,21,28,2.0,4,1.09,A,SW
Audi A4 2L,22,30,2.0,4,1.03,F,CO
Audi A4 Avant Quattro 2L,21,29,2.0,4,1.18,A,SW
Audi A4 Quattro 2L,21,29,2.0,4,1.03,A,CO
Audi A5 Cabriolet 2L,22,30,2.0,4,0.91,F,SC
Audi A5 Cabriolet Quattro 2L,21,29,2.0,4,0.91,A,SC
Audi A5 Quattro 2L,21,29,2.0,4,0.96,A,SC
Audi A6 3.2L,21,30,3.2,6,1.14,F,MI
Audi A6 Avant Quattro 3L,18,26,3.0,6,1.33,A,SW
Audi A6 Quattro 3L,18,26,3.0,6,1.14,A,MI
Audi A6 Quattro 4.2L,16,24,4.2,8,1.14,A,MI
Audi A8 4.2L,17,27,4.2,8,1.15,A,MI
Audi A8L 4.2L,17,27,4.2,8,1.22,A,LA
Audi S4 3L,18,28,3.0,6,1.03,A,CO
Audi S5 4.2L,16,24,4.2,8,0.96,A,SC
Audi S5 Cabriolet 3L,17,26,3.0,6,0.91,A,SC
Audi S6 5.2L,14,21,5.2,10,1.14,A,MI
Audi TT Coupe Quattro 2L,22,31,2.0,4,0.87,A,SC
Bentley Cont SuperSports Convertible FFV 6L,12,19,6.0,12,0.93,A,SC
Bentley Continental Flying Spur FFV 6L,11,18,6.0,12,1.15,A,MI
Bentley Continental GTC FFV 6L,11,18,6.0,12,0.93,A,SC
Bentley Mulsanne 6.8L,11,18,6.8,8,1.12,R,MI
BMW 128Ci Convertible 3L,18,27,3.0,6,0.86,R,SC
BMW 128i 3L,18,28,3.0,6,0.96,R,SC
BMW 135i 3L,18,25,3.0,6,0.96,R,SC
BMW 135i Convertible 3L,18,25,3.0,6,0.86,R,SC
BMW 328Ci 3L,18,28,3.0,6,1.00,R,SC
BMW 328Ci Convertible 3L,18,27,3.0,6,0.93,R,SC
BMW 328Ci xDrive 3L,17,26,3.0,6,1.00,A,SC
BMW 328i 3L,18,28,3.0,6,1.05,R,CO
BMW 328i Sports Wagon 3L,18,27,3.0,6,1.18,R,SW
BMW 328i xDrive 3L,17,26,3.0,6,1.05,A,CO
BMW 328i xDrive Sports Wagon 3L,17,26,3.0,6,1.18,A,SW
BMW 335Ci 3L,19,28,3.0,6,1.00,R,SC
BMW 335Ci Convertible 3L,19,28,3.0,6,0.93,R,SC
