Name,Cmpg,Eng
Acura RL 3.7L,17,3.7
Acura TL 2wd 3.5L,18,3.5
Acura TL 4wd 3.7L,17,3.7
Aston Martin DB9 5.9L,13,5.9
Aston Martin DBS 5.9L,12,5.9
Aston Martin Rapide 5.9L,13,5.9
Audi A3 2L,22,2.0
Audi A3 Quattro 2L,21,2.0
Audi A4 2L,22,2.0
Audi A4 Avant Quattro 2L,21,2.0
Audi A4 Quattro 2L,21,2.0
Audi A5 Cabriolet 2L,22,2.0
Audi A5 Cabriolet Quattro 2L,21,2.0
Audi A5 Quattro 2L,21,2.0
Audi A6 3.2L,21,3.2
Audi A6 Avant Quattro 3L,18,3.0
Audi A6 Quattro 3L,18,3.0
Audi A6 Quattro 4.2L,16,4.2
Audi A8 4.2L,17,4.2
Audi A8L 4.2L,17,4.2
Audi S4 3L,18,3.0
Audi S5 4.2L,16,4.2
Audi S5 Cabriolet 3L,17,3.0
Audi S6 5.2L,14,5.2
Audi TT Coupe Quattro 2L,22,2.0
Bentley Cont Supersports Convertible FFV 6L,12,6.0
Bentley Continental Flying Spur FFV 6L,11,6.0
Bentley Continental GTC FFV 6L,11,6.0
Bentley Mulsanne 6.8L,11,6.8
BMW 128Ci Convertible 3L,18,3.0
BMW 128i 3L,18,3.0
BMW 135i 3L,18,3.0
BMW 135i Convertible 3L,18,3.0
BMW 328Ci 3L,18,3.0
BMW 328Ci Convertible 3L,18,3.0
BMW 328Ci xDrive 3L,17,3.0
BMW 328i 3L,18,3.0
BMW 328i Sports Wagon 3L,18,3.0
BMW 328i xDrive 3L,17,3.0
BMW 328i xDrive Sports Wagon 3L,17,3.0
BMW 335Ci 3L,19,3.0
BMW 335Ci Convertible 3L,19,3.0
BMW 335Ci xDrive 3L,18,3.0
BMW 335i 3L,19,3.0
BMW 335i xDrive 3L,18,3.0
BMW 335is Convertible 3L,17,3.0
BMW 335is Coupe 3L,17,3.0
BMW 528i 3L,22,3.0
BMW 535i 3L,20,3.0
BMW 535i Gran Turismo 3L,20,3.0
BMW 535i xDrive 3L,19,3.0
BMW 535i xDrive Gran Turismo 3L,19,3.0
BMW 550i 4.4L,17,4.4
BMW 550i Gran Turismo 4.4L,15,4.4
BMW 550i xDrive 4.4L,16,4.4
BMW 550i xDrive Gran Turismo 4.4L,15,4.4
BMW 740i 3L,17,3.0
BMW 740Li 3L,17,3.0
BMW 750i 4.4L,15,4.4
BMW 750i xDrive 4.4L,14,4.4
BMW 750Li 4.4L,14,4.4
BMW 750Li xDrive 4.4L,14,4.4
BMW 760Li 6L,13,6.0
BMW Alpina B7 LWB 4.4L,14,4.4
BMW Alpina B7 LWB xDrive 4.4L,14,4.4
BMW Alpina B7 SWB 4.4L,14,4.4
BMW Alpina B7 SWB xDrive 4.4L,14,4.4
BMW M3 Convertible 4L,14,4.0
BMW M3 Coupe 4L,14,4.0
BMW M3 Sedan 4L,14,4.0
Buick Lacrosse 2.4L,19,2.4
Buick Lacrosse 3.6L,17,3.6
Buick Lacrosse Awd 3.6L,16,3.6
Buick Lucerne 4.6L,15,4.6
Buick Lucerne FFV 3.9L,17,3.9
Buick Regal 2.4L,19,2.4
Buick Regal FFV 2L,18,2.0
Cadillac CTS 3.6L,18,3.6
Cadillac CTS 3L,18,3.0
Cadillac CTS 6.2L,12,6.2
Cadillac CTS Awd 3.6L,18,3.6
Cadillac CTS Awd 3L,18,3.0
Cadillac CTS Wagon 3.6L,18,3.6
Cadillac CTS Wagon 3L,18,3.0
Cadillac CTS Wagon 6.2L,12,6.2
Cadillac CTS Wagon Awd 3.6L,18,3.6
Cadillac CTS Wagon Awd 3L,18,3.0
Cadillac DTS 4.6L,15,4.6
Cadillac STS 3.6L,18,3.6
Cadillac STS Awd 3.6L,18,3.6
Chevrolet Aveo 1.6L,25,1.6
Chevrolet Aveo 5 1.6L,25,1.6
Chevrolet Camaro 3.6L,18,3.6
Chevrolet Camaro 6.2L,16,6.2
Chevrolet Cruze 1.4L,24,1.4
Chevrolet Cruze 1.8L,22,1.8
Chevrolet Cruze ECO 1.4L,26,1.4
Chevrolet Impala FFV 3.5L,19,3.5
Chevrolet Impala FFV 3.9L,17,3.9
Chevrolet Malibu 2.4L,22,2.4
Chevrolet Malibu 3.6L,17,3.6
Chevrolet Malibu FFV 2.4L,22,2.4
Chrysler 200 2.4L,21,2.4
Chrysler 200 Convertible 2.4L,20,2.4
Chrysler 200 Convertible FFV 3.6L,19,3.6
Chrysler 200 FFV 3.6L,19,3.6
Chrysler 300 5.7L,16,5.7
Chrysler 300 Awd 5.7L,15,5.7
Chrysler 300 FFV 3.6L,18,3.6
Dodge Avenger 2.4L,21,2.4
Dodge Avenger FFV 3.6L,19,3.6
Dodge Caliber 2.4L,22,2.4
Dodge Caliber 2L,23,2.0
