Name,Cmpg,Eng,Class,DSc,DCo,DSw
Ford Fiesta Fwd 1.6L,29,1.6,SC,1,0,0
Honda Civic 1.8L,25,1.8,SC,1,0,0
Mini Cooper S Clubman 1.6L,26,1.6,SC,1,0,0
Mitsubishi Eclipse 3.8L,17,3.8,SC,1,0,0
Nissan Altima Coupe 2.5L,23,2.5,SC,1,0,0
Scion xD 1.8L,27,1.8,SC,1,0,0
Toyota Yaris 1.5L,29,1.5,SC,1,0,0
Chevrolet Aveo 1.6L,25,1.6,CO,0,1,0
Chevrolet Cruze 1.4L,24,1.4,CO,0,1,0
Chevrolet Cruze 1.8L,22,1.8,CO,0,1,0
Chevrolet Cruze Eco 1.4L,26,1.4,CO,0,1,0
Chrysler 200 Convertible FFV 3.6L,19,3.6,CO,0,1,0
Ford Focus Fwd 2L,25,2.0,CO,0,1,0
Honda Accord 2DR Coupe 3.5L,19,3.5,CO,0,1,0
Kia Forte Koup 2.4L,23,2.4,CO,0,1,0
Mazda 3 2.5L,22,2.5,CO,0,1,0
Toyota Corolla 1.8L,26,1.8,CO,0,1,0
Volkswagen Golf 2.5L,24,2.5,CO,0,1,0
Audi A3 2L,22,2.0,SW,0,0,1
Dodge Caliber 2.4L,22,2.4,SW,0,0,1
Dodge Caliber 2L,23,2.0,SW,0,0,1
Kia Rondo 2.4L,20,2.4,SW,0,0,1
Kia Soul 2L,24,2.0,SW,0,0,1
Nissan Juke 1.6L,27,1.6,SW,0,0,1
Toyota Corolla Matrix 2.4L,21,2.4,SW,0,0,1
Volvo V50 Fwd 2.5L,21,2.5,SW,0,0,1
