ID,Name,Cmpg,Eng,Cyl,Vol
1,Aston Martin DB9 5.9L,13,5.9,12,0.83
2,BMW 128Ci Convertible 3L,18,3.0,6,0.86
3,BMW 128i 3L,18,3.0,6,0.96
4,BMW 328Ci 3L,18,3.0,6,1.00
5,BMW 328Ci Convertible 3L,18,3.0,6,0.93
6,BMW 328i 3L,18,3.0,6,1.05
7,BMW 328i Sports Wagon 3L,18,3.0,6,1.18
8,BMW 335Ci Convertible 3L,19,3.0,6,0.93
9,BMW 335is Convertible 3L,17,3.0,6,0.93
10,BMW 335is Coupe 3L,17,3.0,6,1.00
11,BMW 550i Gran Turismo 4.4L,15,4.4,8,1.22
12,BMW 740i 3L,17,3.0,6,1.20
13,BMW 740Li 3L,17,3.0,6,1.29
14,BMW 750i 4.4L,15,4.4,8,1.20
15,Cadillac CTS 3.6L,18,3.6,6,1.14
16,Cadillac CTS 3L,18,3.0,6,1.14
17,Cadillac CTS Wagon 3.6L,18,3.6,6,1.26
18,Cadillac CTS Wagon 3L,18,3.0,6,1.26
19,Chevrolet Camaro 3.6L,18,3.6,6,1.04
20,Chrysler 300 FFV 3.6L,18,3.6,6,1.22
21,Dodge Challenger FFV 3.6L,18,3.6,6,1.07
22,Dodge Challenger SRT8 6.4L,14,6.4,8,1.07
23,Dodge Charger FFV 3.6L,18,3.6,6,1.20
24,Hyundai Genesis 3.8L,18,3.8,6,1.25
25,Hyundai Genesis Coupe 2L,20,2.0,4,0.99
26,Hyundai Genesis Coupe 3.8L,17,3.8,6,0.99
27,Infiniti EX35 3.5L,17,3.5,6,1.11
28,Infiniti G25 2.5L,20,2.5,6,1.13
29,Infiniti G37 Convertible 3.7L,17,3.7,6,0.88
30,Infiniti M37 3.7L,18,3.7,6,1.19
31,Jaguar XJ 5L,15,5.0,8,1.20
32,Lexus HS 250h 2.4L,35,2.4,4,1.02
33,Lexus LS 460 4.6L,16,4.6,8,1.17
34,Mercedes C 350 3.5L,17,3.5,6,1.00
35,Mercedes E 350 Convertible 3.5L,17,3.5,6,0.86
36,Mercedes E 350 Coupe 3.5L,17,3.5,6,0.92
37,Mercedes E 550 4.7L,15,4.7,8,1.11
38,Mercedes E 550 Convertible 5.5L,15,5.5,8,0.86
39,Mercedes E 550 Coupe 5.5L,15,5.5,8,0.92
40,Mercedes GLK 350 3.5L,16,3.5,6,1.26
41,Mercedes ML 350 3.5L,16,3.5,6,1.48
42,Mercedes S 550 5.5L,15,5.5,8,1.25
43,Nissan 370Z 3.7L,19,3.7,6,0.59
44,Nissan 370Z Roadster 3.7L,18,3.7,6,0.56
45,Porsche 911 Carrera 3.6L,19,3.6,6,0.75
46,Porsche 911 Carrera Cabriolet 3.6L,19,3.6,6,0.73
47,Porsche 911 Carrera S Cabriolet 3.8L,19,3.8,6,0.73
48,Porsche 911 Turbo Coupe 3.8L,17,3.8,6,0.75
49,Porsche Panamera 3.6L,18,3.6,6,1.23
50,Rolls-Royce Ghost 6.6L,13,6.6,12,1.25
