Name,Cmpg,Hmpg,Eng,Cyl,Vol,Air,DNa,DSt,Drive,DFw,DRw,DAw,D4w,Class,DMc,DSc,DCo,DMi,DLa,DSw,DSu
Acura RL 3.7L,17,24,3.7,6,1.13,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Acura TL 2wd 3.5L,18,26,3.5,6,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Acura TL 4wd 3.7L,17,25,3.7,6,1.11,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Aston Martin DB9 5.9L,13,20,5.9,12,0.83,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Aston Martin DBS 5.9L,12,18,5.9,12,0.83,N,1,0,R,0,1,0,0,MC,1,0,0,0,0,0,0
Aston Martin Rapide 5.9L,13,19,5.9,12,0.97,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
Audi A3 2L,22,28,2.0,4,1.09,TC,0,1,F,1,0,0,0,SW,0,0,0,0,0,1,0
Audi A3 Quattro 2L,21,28,2.0,4,1.09,TC,0,1,A,0,0,1,0,SW,0,0,0,0,0,1,0
Audi A4 2L,22,30,2.0,4,1.03,TC,0,1,F,1,0,0,0,CO,0,0,1,0,0,0,0
Audi A4 Avant Quattro 2L,21,29,2.0,4,1.18,TC,0,1,A,0,0,1,0,SW,0,0,0,0,0,1,0
Audi A4 Quattro 2L,21,29,2.0,4,1.03,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Audi A5 Cabriolet 2L,22,30,2.0,4,0.91,TC,0,1,F,1,0,0,0,SC,0,1,0,0,0,0,0
Audi A5 Cabriolet Quattro 2L,21,29,2.0,4,0.91,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Audi A5 Quattro 2L,21,29,2.0,4,0.96,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Audi A6 3.2L,21,30,3.2,6,1.14,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Audi A6 Avant Quattro 3L,18,26,3.0,6,1.33,SC,0,1,A,0,0,1,0,SW,0,0,0,0,0,1,0
Audi A6 Quattro 3L,18,26,3.0,6,1.14,SC,0,1,A,0,0,1,0,MI,0,0,0,1,0,0,0
Audi A6 Quattro 4.2L,16,24,4.2,8,1.14,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Audi A8 4.2L,17,27,4.2,8,1.15,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Audi A8L 4.2L,17,27,4.2,8,1.22,N,1,0,A,0,0,1,0,LA,0,0,0,0,1,0,0
Audi S4 3L,18,28,3.0,6,1.03,SC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
Audi S5 4.2L,16,24,4.2,8,0.96,N,1,0,A,0,0,1,0,SC,0,1,0,0,0,0,0
Audi S5 Cabriolet 3L,17,26,3.0,6,0.91,SC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Audi S6 5.2L,14,21,5.2,10,1.14,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Audi TT Coupe Quattro 2L,22,31,2.0,4,0.87,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Bentley Cont SuperSports Convertible FFV 6L,12,19,6.0,12,0.93,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Bentley Continental Flying Spur FFV 6L,11,18,6.0,12,1.15,TC,0,1,A,0,0,1,0,MI,0,0,0,1,0,0,0
Bentley Continental GTC FFV 6L,11,18,6.0,12,0.93,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
Bentley Mulsanne 6.8L,11,18,6.8,8,1.12,TC,0,1,R,0,1,0,0,MI,0,0,0,1,0,0,0
BMW 128Ci Convertible 3L,18,27,3.0,6,0.86,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 128i 3L,18,28,3.0,6,0.96,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 135i 3L,18,25,3.0,6,0.96,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 135i Convertible 3L,18,25,3.0,6,0.86,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 328Ci 3L,18,28,3.0,6,1.00,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 328Ci Convertible 3L,18,27,3.0,6,0.93,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 328Ci xDrive 3L,17,26,3.0,6,1.00,N,1,0,A,0,0,1,0,SC,0,1,0,0,0,0,0
BMW 328i 3L,18,28,3.0,6,1.05,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
BMW 328i Sports Wagon 3L,18,27,3.0,6,1.18,N,1,0,R,0,1,0,0,SW,0,0,0,0,0,1,0
BMW 328i xDrive 3L,17,26,3.0,6,1.05,N,1,0,A,0,0,1,0,CO,0,0,1,0,0,0,0
BMW 328i xDrive Sports Wagon 3L,17,26,3.0,6,1.18,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
BMW 335Ci 3L,19,28,3.0,6,1.00,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 335Ci Convertible 3L,19,28,3.0,6,0.93,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 335Ci xDrive 3L,18,27,3.0,6,1.00,TC,0,1,A,0,0,1,0,SC,0,1,0,0,0,0,0
BMW 335i 3L,19,28,3.0,6,1.05,TC,0,1,R,0,1,0,0,CO,0,0,1,0,0,0,0
BMW 335i xDrive 3L,18,27,3.0,6,1.05,TC,0,1,A,0,0,1,0,CO,0,0,1,0,0,0,0
BMW 335is Convertible 3L,17,24,3.0,6,0.93,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 335is Coupe 3L,17,24,3.0,6,1.00,TC,0,1,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW 528i 3L,22,32,3.0,6,1.16,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
BMW 535i 3L,20,30,3.0,6,1.16,TC,0,1,R,0,1,0,0,MI,0,0,0,1,0,0,0
BMW 535i Gran Turismo 3L,20,30,3.0,6,1.22,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 535i xDrive 3L,19,29,3.0,6,1.16,TC,0,1,A,0,0,1,0,MI,0,0,0,1,0,0,0
BMW 535i xDrive Gran Turismo 3L,19,27,3.0,6,1.22,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW 550i 4.4L,17,25,4.4,8,1.16,TC,0,1,R,0,1,0,0,MI,0,0,0,1,0,0,0
BMW 550i Gran Turismo 4.4L,15,22,4.4,8,1.22,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 550i xDrive 4.4L,16,24,4.4,8,1.16,TC,0,1,A,0,0,1,0,MI,0,0,0,1,0,0,0
BMW 550i xDrive Gran Turismo 4.4L,15,22,4.4,8,1.22,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW 740i 3L,17,25,3.0,6,1.20,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 740Li 3L,17,25,3.0,6,1.29,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 750i 4.4L,15,22,4.4,8,1.20,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 750i xDrive 4.4L,14,20,4.4,8,1.20,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW 750Li 4.4L,14,22,4.4,8,1.29,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW 750Li xDrive 4.4L,14,20,4.4,8,1.29,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW 760Li 6L,13,19,6.0,12,1.29,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW Alpina B7 LWB 4.4L,14,22,4.4,8,1.29,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW Alpina B7 LWB xDrive 4.4L,14,20,4.4,8,1.29,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW Alpina B7 SWB 4.4L,14,22,4.4,8,1.20,TC,0,1,R,0,1,0,0,LA,0,0,0,0,1,0,0
BMW Alpina B7 SWB xDrive 4.4L,14,20,4.4,8,1.20,TC,0,1,A,0,0,1,0,LA,0,0,0,0,1,0,0
BMW M3 Convertible 4L,14,20,4.0,8,0.93,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW M3 Coupe 4L,14,20,4.0,8,1.00,N,1,0,R,0,1,0,0,SC,0,1,0,0,0,0,0
BMW M3 Sedan 4L,14,20,4.0,8,1.05,N,1,0,R,0,1,0,0,CO,0,0,1,0,0,0,0
Buick Lacrosse 2.4L,19,30,2.4,4,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Buick Lacrosse 3.6L,17,27,3.6,6,1.16,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Buick Lacrosse Awd 3.6L,16,26,3.6,6,1.16,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Buick Lucerne 4.6L,15,23,4.6,8,1.21,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Buick Lucerne FFV 3.9L,17,27,3.9,6,1.21,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Buick Regal 2.4L,19,30,2.4,4,1.11,N,1,0,F,1,0,0,0,MI,0,0,0,1,0,0,0
Buick Regal FFV 2L,18,28,2.0,4,1.11,TC,0,1,F,1,0,0,0,MI,0,0,0,1,0,0,0
Cadillac CTS 3.6L,18,27,3.6,6,1.14,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Cadillac CTS 3L,18,27,3.0,6,1.14,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Cadillac CTS 6.2L,12,18,6.2,8,1.14,SC,0,1,R,0,1,0,0,MI,0,0,0,1,0,0,0
Cadillac CTS Awd 3.6L,18,27,3.6,6,1.11,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Cadillac CTS Awd 3L,18,26,3.0,6,1.11,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Cadillac CTS Wagon 3.6L,18,26,3.6,6,1.26,N,1,0,R,0,1,0,0,SW,0,0,0,0,0,1,0
Cadillac CTS Wagon 3L,18,27,3.0,6,1.26,N,1,0,R,0,1,0,0,SW,0,0,0,0,0,1,0
Cadillac CTS Wagon 6.2L,12,18,6.2,8,1.26,SC,0,1,R,0,1,0,0,SW,0,0,0,0,0,1,0
Cadillac CTS Wagon Awd 3.6L,18,26,3.6,6,1.26,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
Cadillac CTS Wagon Awd 3L,18,26,3.0,6,1.26,N,1,0,A,0,0,1,0,SW,0,0,0,0,0,1,0
Cadillac DTS 4.6L,15,23,4.6,8,1.32,N,1,0,F,1,0,0,0,LA,0,0,0,0,1,0,0
Cadillac STS 3.6L,18,27,3.6,6,1.16,N,1,0,R,0,1,0,0,MI,0,0,0,1,0,0,0
Cadillac STS Awd 3.6L,18,27,3.6,6,1.16,N,1,0,A,0,0,1,0,MI,0,0,0,1,0,0,0
Chevrolet Aveo 1.6L,25,34,1.6,4,1.03,N,1,0,F,1,0,0,0,CO,0,0,1,0,0,0,0
Chevrolet Aveo 5 1.6L,25,34,1.6,4,0.98,N,1,0,F,1,0,0,0,SC,0,1,0,0,0,0,0
