Y,X1,X2,X3,X4
0.40,1.02,0.02,1.12,0.30
1.35,0.91,0.11,1.01,0.38
2.27,1.73,0.23,1.73,0.38
3.22,2.99,0.89,2.69,0.77
3.37,1.08,1.18,1.98,0.85
3.43,2.93,1.33,2.53,0.75
3.49,4.55,1.05,3.15,1.20
3.86,2.33,1.73,2.53,1.51
3.97,1.56,1.96,2.06,1.56
4.22,2.44,2.14,2.74,1.56
4.25,1.91,1.91,1.91,1.67
4.83,3.60,2.90,3.10,1.98
4.96,2.47,2.87,2.47,1.89
5.26,2.93,2.93,2.93,2.15
5.46,3.34,3.34,3.34,1.77
5.68,4.03,4.03,3.73,1.81
5.72,3.19,3.49,2.89,1.95
5.89,4.05,4.05,4.05,2.07
5.89,2.49,3.79,2.49,2.05
6.02,3.88,3.88,3.68,2.20
6.03,5.43,5.43,3.53,2.34
6.13,4.64,4.64,3.74,2.44
6.14,3.27,3.87,3.27,2.41
6.21,5.48,5.48,4.48,2.66
6.32,4.05,4.05,3.65,2.64
6.41,4.17,4.17,4.17,5.65
6.43,3.87,3.87,3.47,5.60
6.52,3.84,3.84,2.94,5.51
6.58,5.04,5.04,4.74,5.59
6.70,5.87,5.87,4.27,5.74
7.15,3.97,4.97,2.87,5.80
7.26,6.42,6.92,4.72,5.89
7.48,4.06,5.06,3.56,6.04
7.48,4.53,4.63,4.03,6.18
7.53,6.69,7.69,5.59,5.97
7.93,5.52,5.52,4.82,6.17
7.99,5.76,5.76,5.76,6.15
8.17,6.53,7.53,6.53,6.28
8.34,6.48,6.08,5.88,6.19
8.35,7.12,8.92,7.12,6.35
8.48,6.58,9.58,6.58,6.40
8.52,6.74,7.04,6.84,6.40
8.67,5.15,5.15,4.65,6.63
9.15,5.75,5.75,5.75,6.64
9.40,6.37,6.37,8.17,6.85
9.90,5.85,6.15,8.25,6.84
10.41,8.87,9.97,9.37,6.95
10.63,7.90,7.40,8.80,7.42
10.81,8.05,6.85,9.15,7.07
11.05,8.48,8.48,9.68,7.12
