Bal,Purch,House,Type,DR,Gender,DM
174,5.00,9.11,R,1,M,1
67,1.45,5.19,R,1,M,1
143,5.31,5.73,R,1,M,1
113,5.33,4.93,R,1,M,1
186,9.48,8.51,R,1,M,1
143,6.31,5.68,R,1,F,0
83,5.61,3.92,R,1,M,1
96,4.49,3.28,H,0,F,0
83,7.76,2.19,H,0,M,1
138,4.95,6.49,R,1,F,0
100,4.59,4.78,R,1,M,1
58,3.79,4.34,H,0,F,0
64,4.14,6.17,H,0,F,0
34,4.13,5.92,H,0,M,1
161,4.92,7.79,R,1,F,0
79,1.23,6.68,R,1,F,0
65,4.41,4.67,H,0,M,1
114,4.31,4.81,R,1,M,1
105,7.50,3.94,R,1,F,0
134,6.27,5.06,R,1,M,1
98,2.62,3.05,R,1,F,0
92,3.45,4.77,R,1,F,0
121,3.57,4.70,R,1,F,0
58,3.08,4.09,H,0,F,0
112,3.12,4.68,R,1,M,1
57,4.83,5.75,H,0,M,1
80,4.67,2.44,R,1,M,1
56,4.98,6.15,H,0,F,0
85,1.15,6.47,R,1,F,0
17,3.48,7.04,H,0,M,1
137,5.00,5.82,R,1,M,1
120,4.60,6.91,R,1,M,1
153,6.97,6.84,R,1,F,0
166,6.69,5.10,R,1,F,0
98,3.75,5.34,R,1,F,0
60,5.74,3.86,H,0,F,0
114,5.13,4.83,R,1,M,1
149,5.08,5.49,R,1,F,0
0,0.93,9.40,H,0,F,0
157,4.05,8.74,R,1,M,1
26,4.48,5.16,H,0,F,0
136,4.41,5.85,R,1,F,0
0,2.89,5.01,H,0,M,1
51,4.52,6.33,H,0,F,0
112,5.45,5.97,R,1,M,1
50,4.69,5.68,H,0,F,0
34,5.23,6.51,H,0,M,1
173,9.28,6.69,R,1,M,1
141,4.11,5.63,R,1,M,1
116,4.32,6.41,R,1,M,1
