Locality,Fer,Inc,Edu
Afghanistan,6.42,1.217,0.8
Albania,1.56,6.546,10.7
Algeria,2.31,6.207,7.1
Angola,5.58,5.056,4.5
Argentina,2.23,13.498,11.4
Armenia,1.74,4.523,11.4
Australia,1.94,34.327,12.7
Austria,1.37,35.636,11.4
Azerbaijan,2.16,9.088,11.9
Bahamas,1.90,21.533,12.0
Bahrain,2.57,24.227,10.9
Bangladesh,2.30,1.492,4.7
Belarus,1.42,11.574,12.4
Belgium,1.81,32.257,12.5
Belize,2.85,6.998,9.4
Benin,5.37,1.458,2.8
Bolivia,3.41,4.007,9.0
BosniaandHerzegovina,1.16,7.342,9.7
Botswana,2.80,12.282,8.1
Brazil,1.86,9.570,9.0
Bulgaria,1.49,10.840,12.4
BurkinaFaso,5.89,1.234,1.6
Burundi,4.47,0.457,3.1
Cambodia,2.66,1.831,4.7
Cameroon,4.56,1.997,6.5
Canada,1.67,34.570,14.7
CapeVerde,2.48,3.456,6.2
CentralAfricanRep,4.72,0.696,3.6
Chad,6.07,1.558,1.5
Chile,1.88,13.087,11.9
China,1.61,7.226,8.5
Colombia,2.40,7.091,8.4
Comoros,4.99,1.016,4.8
CongoDemRep,5.90,0.359,5.5
CongoRep,4.58,3.835,7.7
CostaRica,1.88,9.552,10.4
CotedIvoire,4.52,1.520,3.4
Croatia,1.44,14.110,11.4
Cuba,1.48,9.374,12.2
Cyprus,1.49,25.643,13.6
CzechRep,1.44,21.968,13.3
Denmark,1.86,32.670,12.7
Djibouti,3.83,2.177,3.6
DominicanRep,2.62,6.388,9.9
Ecuador,2.52,7.035,9.8
Egypt,2.78,5.914,8.0
ElSalvador,2.28,5.647,8.0
EquatorialGuinea,5.26,15.342,6.3
Eritrea,4.54,0.548,4.0
Estonia,1.67,16.349,11.7
Ethiopia,4.35,0.812,2.1
Fiji,2.70,4.016,11.3
Finland,1.85,30.603,12.4
France,1.98,29.775,11.7
Gabon,3.29,12.705,8.2
Gambia,4.98,0.823,3.3
Georgia,1.56,4.169,12.7
Germany,1.38,31.191,12.2
Ghana,4.24,1.383,6.9
Greece,1.49,27.626,12.3
Guatemala,4.05,5.163,5.4
Guinea,5.33,0.909,1.8
GuineaBissau,5.14,0.569,2.1
Guyana,2.29,3.777,11.2
Haiti,3.42,1.198,5.7
Honduras,3.20,3.473,7.6
Hungary,1.36,16.983,12.1
India,2.66,2.731,5.7
Indonesia,2.15,3.818,8.3
Iran,1.70,11.742,8.2
Iraq,4.77,3.518,5.3
Ireland,2.10,35.693,12.7
Israel,2.91,25.464,13.2
Italy,1.41,26.161,11.8
Jamaica,2.36,7.024,11.6
Japan,1.35,29.681,13.4
Jordan,3.15,5.109,11.6
Kazakhstan,2.55,10.612,12.2
Kenya,4.76,1.494,8.5
KoreaRep,1.31,23.875,14.1
Kuwait,2.30,42.444,9.3
Kyrgyzstan,2.68,2.052,12.0
Laos,2.84,2.280,4.4
Latvia,1.44,13.022,12.3
Lebanon,1.82,12.766,10.8
Lesotho,3.27,1.521,9.5
Liberia,5.31,0.475,3.5
Lithuania,1.43,14.929,12.6
Luxembourg,1.63,70.857,11.4
MacedoniaFYR,1.44,8.365,11.2
Madagascar,4.72,1.007,5.4
Malawi,5.99,0.866,5.2
Malaysia,2.67,12.388,11.2
Maldives,1.80,5.082,5.9
Mali,6.36,1.136,1.6
Mauritania,4.60,1.776,3.3
Mauritius,1.63,11.412,10.1
Mexico,2.36,11.250,9.8
Moldova,1.48,2.593,12.4
Mongolia,2.50,3.205,10.0
Morocco,2.31,4.163,4.3
Mozambique,4.99,0.889,2.8
Myanmar,2.03,1.269,6.6
Namibia,3.29,4.952,8.8
Nepal,2.81,1.225,3.2
Netherlands,1.76,36.075,11.9
NewZealand,2.15,24.009,13.3
Nicaragua,2.67,2.591,7.6
Niger,7.12,0.643,1.3
Nigeria,5.56,2.159,6.4
Norway,1.93,47.915,14.2
Oman,2.38,22.805,8.2
Pakistan,3.50,2.603,4.2
Panama,2.52,10.797,11.4
PapuaNewGuinea,4.01,1.947,5.4
Paraguay,3.00,4.054,9.2
Peru,2.54,7.859,10.3
Philippines,3.19,3.204,10.4
Poland,1.34,16.466,12.4
Portugal,1.34,19.898,9.8
Qatar,2.32,74.138,10.6
Romania,1.36,10.868,12.5
Russia,1.47,13.625,13.2
Rwanda,5.40,0.995,4.2
SaintLucia,2.00,9.051,10.8
Samoa,3.91,5.004,12.9
SaoTomeandPrincipe,3.73,1.703,5.7
SaudiArabia,2.89,21.138,8.5
Senegal,4.90,1.700,2.7
Serbia,1.60,10.005,10.9
SierraLeone,5.08,0.894,2.3
Singapore,1.28,43.526,9.5
SlovakRepublic,1.29,19.186,12.3
Slovenia,1.42,24.778,12.1
SolomonIslands,4.30,1.904,6.9
Somalia,6.36,0.943,1.7
SouthAfrica,2.50,9.141,10.0
Spain,1.44,26.812,10.9
SriLanka,2.33,4.254,10.6
Sudan,4.48,2.779,5.7
Suriname,2.37,8.199,8.5
Swaziland,3.45,4.728,9.1
Sweden,1.92,32.021,13.2
Switzerland,1.48,38.004,12.0
Syria,3.00,4.384,7.6
Tajikistan,3.36,1.775,11.7
Tanzania,5.56,1.220,5.9
Thailand,1.60,7.376,8.9
TimorLeste,6.36,2.476,4.7
Togo,4.16,0.888,4.1
Tonga,3.96,5.104,12.6
TrinidadandTobago,1.64,17.826,11.9
Tunisia,2.00,7.500,7.1
Turkey,2.11,8.041,8.2
Turkmenistan,2.44,5.703,12.0
Uganda,6.24,1.203,5.5
Ukraine,1.42,5.731,12.9
UnitedArabEmirates,1.79,33.735,11.7
UnitedKingdom,1.85,31.042,13.1
UnitedStates,2.08,41.256,13.5
Uruguay,2.09,11.461,11.2
Uzbekistan,2.39,2.587,11.9
Vanuatu,3.92,3.943,8.0
Venezuela,2.50,10.986,10.5
Vietnam,1.85,2.679,8.4
WestBankandGaza,4.53,3.300,11.0
YemenRep,5.31,2.313,1.9
Zambia,6.23,1.442,6.7
Zimbabwe,3.36,0.444,9.0
