Y,X1,X2,X3
0.39302,0.44886,0.47663,0.64740
0.48872,0.36080,0.03685,0.10867
0.28833,0.11112,0.85250,0.29337
1.90419,0.69223,0.06177,0.89193
0.73951,0.91095,0.53212,0.06239
0.19250,0.77793,0.67428,0.35782
0.36626,0.79181,0.68415,0.77328
-0.09108,0.06311,0.95591,0.34637
0.69213,0.52227,0.97097,0.71516
-0.52785,0.03413,0.90875,0.03288
0.83650,0.47988,0.84350,0.08886
1.22136,0.79987,0.56720,0.38463
0.73847,0.51558,0.42308,0.54589
0.63486,0.86951,0.22821,0.71989
0.00493,0.28256,0.08811,0.52887
0.44380,0.55382,0.01395,0.23722
-0.33177,0.94081,0.87203,0.06583
0.35531,0.65607,0.37436,0.70366
1.14236,0.95071,0.44683,0.66169
-0.02754,0.38579,0.19394,0.27554
0.18495,0.00298,0.30133,0.44701
-0.49763,0.38362,0.82087,0.05891
0.03079,0.19965,0.90261,0.18615
1.08970,0.95668,0.14956,0.52427
1.11132,0.09762,0.07131,0.95195
0.99684,0.42026,0.19522,0.77877
-0.69319,0.31847,0.96495,0.03485
0.53900,0.14719,0.83367,0.53399
0.68851,0.89678,0.49259,0.37796
-0.22747,0.15136,0.11710,0.21813
1.27179,0.23411,0.17306,0.58445
-0.28980,0.14837,0.80148,0.21893
1.17463,0.67726,0.29436,0.94509
0.75000,0.65990,0.46877,0.82526
0.15806,0.72984,0.34847,0.49092
-0.19254,0.27028,0.52856,0.30571
0.48922,0.45139,0.70902,0.70707
0.52750,0.07798,0.98593,0.44272
-0.52824,0.34453,0.70723,0.39515
0.95655,0.68976,0.25859,0.16495
1.05061,0.41838,0.85945,0.78457
0.16935,0.28385,0.68363,0.32419
0.78144,0.71133,0.77547,0.28786
0.43609,0.55788,0.25327,0.16843
0.33736,0.21744,0.76603,0.34049
0.02848,0.70131,0.69490,0.34595
0.95950,0.26361,0.11090,0.69401
-0.82675,0.56061,0.43508,0.00532
0.51261,0.89706,0.13126,0.34616
0.09484,0.47723,0.44830,0.15742
