id,Y,X,County,W
1,0.788457,0,1,-0.689048
2,0.788457,1,1,-0.689048
3,1.064711,1,1,-0.689048
4,0.000000,1,1,-0.689048
5,1.131402,1,2,-0.847313
6,0.916291,1,2,-0.847313
7,0.405465,1,2,-0.847313
8,0.000000,1,2,-0.847313
9,-0.356675,1,2,-0.847313
10,0.182322,1,2,-0.847313
11,0.182322,1,2,-0.847313
12,0.262364,1,2,-0.847313
13,0.336472,1,2,-0.847313
14,-0.916291,1,2,-0.847313
15,0.095310,1,2,-0.847313
16,1.504077,1,2,-0.847313
17,0.262364,1,2,-0.847313
18,0.741937,1,2,-0.847313
19,1.774952,1,2,-0.847313
20,1.193922,1,2,-0.847313
21,0.587787,1,2,-0.847313
22,1.686399,1,2,-0.847313
23,1.840550,1,2,-0.847313
24,0.641854,1,2,-0.847313
25,1.887070,1,2,-0.847313
26,1.131402,1,2,-0.847313
27,1.916923,1,2,-0.847313
28,1.945910,1,2,-0.847313
29,2.041220,1,2,-0.847313
30,1.648659,1,2,-0.847313
31,1.504077,1,2,-0.847313
32,1.481605,1,2,-0.847313
33,1.029619,1,2,-0.847313
34,2.091864,1,2,-0.847313
35,0.470004,1,2,-0.847313
36,1.435085,1,2,-0.847313
37,1.686399,1,2,-0.847313
38,1.386294,1,2,-0.847313
39,0.832909,1,2,-0.847313
40,1.064711,1,2,-0.847313
41,0.336472,1,2,-0.847313
42,1.193922,1,2,-0.847313
43,1.064711,1,2,-0.847313
44,0.587787,0,2,-0.847313
45,-1.609438,0,2,-0.847313
46,0.875469,1,2,-0.847313
47,0.095310,0,2,-0.847313
48,0.788457,1,2,-0.847313
49,-0.510826,1,2,-0.847313
50,0.530628,1,2,-0.847313
51,1.064711,1,2,-0.847313
52,0.788457,1,2,-0.847313
53,0.530628,1,2,-0.847313
54,0.336472,1,2,-0.847313
55,0.641854,1,2,-0.847313
56,0.587787,1,2,-0.847313
57,0.182322,0,3,-0.113459
58,1.458615,1,3,-0.113459
59,1.504077,0,3,-0.113459
60,1.840550,1,4,-0.593353
61,1.526056,1,4,-0.593353
62,1.740466,1,4,-0.593353
63,0.788457,0,4,-0.593353
64,-0.916291,0,4,-0.593353
65,1.526056,0,4,-0.593353
66,1.481605,0,4,-0.593353
67,1.887070,1,5,-0.142890
68,0.993252,1,5,-0.142890
69,1.064711,0,5,-0.142890
70,1.064711,1,5,-0.142890
71,1.974081,1,6,0.387057
72,1.609438,1,6,0.387057
73,0.955511,1,6,0.387057
74,1.609438,1,7,0.271614
75,2.564949,1,7,0.271614
76,1.974081,1,7,0.271614
77,1.916923,1,7,0.271614
78,2.549445,1,7,0.271614
79,1.757858,0,7,0.271614
80,2.251292,1,7,0.271614
81,1.791759,1,7,0.271614
82,1.335001,1,7,0.271614
83,2.660260,0,7,0.271614
84,0.587787,1,7,0.271614
85,1.931521,1,7,0.271614
86,1.547563,1,7,0.271614
87,2.251292,1,7,0.271614
88,0.916291,0,8,0.277579
89,1.902108,1,8,0.277579
90,1.386294,0,8,0.277579
91,2.312535,1,8,0.277579
92,0.788457,1,9,-0.332315
93,0.587787,1,9,-0.332315
94,1.223775,1,9,-0.332315
95,1.722767,0,9,-0.332315
96,1.458615,1,9,-0.332315
97,1.360977,1,9,-0.332315
98,0.262364,1,9,-0.332315
99,1.435085,1,9,-0.332315
100,-0.223144,1,9,-0.332315
101,0.693147,1,9,-0.332315
102,0.470004,1,10,0.095865
103,2.557227,1,10,0.095865
104,2.687847,0,10,0.095865
105,1.547563,0,10,0.095865
106,2.261763,1,10,0.095865
107,-2.302585,0,10,0.095865
108,1.308333,1,11,-0.608220
109,2.001480,1,11,-0.608220
110,0.641854,1,11,-0.608220
111,1.667707,1,11,-0.608220
112,1.386294,1,11,-0.608220
113,2.041220,1,12,0.273685
114,0.336472,1,12,0.273685
