Y,X
16.19,9.04
21.92,10.27
15.93,7.59
20.00,9.90
20.65,10.15
18.04,8.70
16.66,9.11
21.24,10.40
17.89,9.25
15.61,8.36
18.53,9.43
26.43,12.37
24.37,11.69
27.53,11.92
19.32,9.52
21.05,10.01
19.62,9.83
15.35,8.78
16.68,9.04
25.45,11.41
16.73,8.51
27.13,12.02
19.91,10.42
20.83,10.60
20.03,10.15
18.61,9.56
24.73,11.53
21.03,10.15
17.54,8.38
24.66,11.74
18.56,9.13
20.38,10.28
13.49,7.84
22.94,11.03
17.62,8.96
20.09,9.84
21.38,10.35
19.64,9.89
17.61,9.49
19.36,9.95
17.27,8.48
18.58,9.58
15.23,8.53
23.16,11.03
21.63,10.86
17.01,8.91
21.79,10.20
19.73,9.79
21.48,10.32
16.28,8.85
27.67,12.52
26.55,12.08
19.46,9.39
20.33,10.05
30.87,13.21
14.10,8.30
23.21,10.91
15.25,8.49
17.36,9.30
23.06,10.71
18.84,9.80
21.68,9.68
19.59,10.26
17.07,8.81
19.36,10.12
20.95,10.50
19.67,10.50
18.26,8.83
17.16,9.35
24.66,10.97
20.33,9.72
22.56,10.99
22.83,10.92
23.15,10.88
19.92,9.63
17.13,8.97
17.49,8.57
18.32,8.94
16.74,9.10
22.24,10.53
25.41,11.16
20.33,10.30
18.69,9.96
25.09,11.49
19.33,10.06
29.36,12.92
18.43,9.67
19.43,9.13
21.27,10.54
20.81,10.09
17.87,9.19
23.08,10.96
21.27,10.11
20.44,10.05
22.05,10.67
21.04,10.11
22.23,10.95
17.80,8.96
19.34,9.47
27.26,11.55
