Y,D1,X2,X3,X4,X5,X6,X7
0.49,1,5.18,2.12,1.23,2.76,1.95,2.44
9.16,0,1.21,0.86,4.32,3.50,5.52,2.33
8.02,1,1.58,1.12,3.46,2.48,3.75,4.90
5.97,0,3.10,2.61,1.99,2.06,1.85,2.06
5.35,1,1.14,0.99,4.60,1.02,3.62,3.52
7.04,0,2.05,1.31,2.23,1.91,1.99,3.30
9.84,0,2.38,1.38,4.33,3.05,5.04,4.29
6.81,0,1.36,0.24,3.86,2.38,4.00,2.32
5.16,1,3.06,1.70,3.74,4.16,5.66,3.50
9.26,0,3.84,1.70,1.34,2.92,1.94,4.05
5.57,1,3.40,1.37,5.17,3.98,6.91,1.57
6.69,0,2.92,1.56,0.49,3.40,1.75,3.62
5.13,1,2.78,1.41,3.20,2.16,3.17,4.46
3.20,1,2.69,2.22,2.98,1.23,2.00,4.26
6.30,0,1.32,1.82,3.81,0.63,2.30,4.11
4.98,1,1.90,2.18,4.06,1.97,3.67,2.18
8.03,0,2.81,1.87,4.21,2.55,4.63,3.54
6.56,0,2.35,1.54,4.04,2.90,4.95,4.35
8.35,0,3.31,1.63,2.30,2.70,2.84,2.95
8.83,0,4.07,2.10,2.13,1.17,1.05,0.76
5.91,1,1.96,1.01,3.16,1.54,2.58,3.69
4.74,1,2.14,2.34,3.23,4.60,5.53,2.82
7.30,0,0.48,0.57,3.87,3.02,4.77,2.04
4.03,1,2.43,2.09,3.19,3.00,3.87,1.22
5.24,1,2.02,1.03,4.10,0.04,1.84,2.09
9.17,0,2.54,1.75,1.71,5.07,4.44,2.91
7.00,0,3.42,2.13,2.95,2.61,3.49,2.35
5.86,0,0.00,0.28,2.62,2.36,2.84,3.44
4.53,1,3.04,1.77,2.23,2.03,1.99,3.86
5.70,0,0.67,0.50,4.37,0.98,3.24,5.45
8.01,1,3.04,1.13,5.14,2.20,5.13,2.46
6.62,1,2.91,1.24,2.98,4.17,4.98,3.43
2.29,1,3.06,0.90,2.87,2.31,2.95,3.57
7.59,0,4.20,2.11,0.61,4.53,2.79,3.14
5.90,1,2.62,1.72,2.57,3.49,3.95,2.81
8.86,0,3.11,2.30,3.77,4.61,6.32,3.29
5.19,1,2.90,1.14,0.66,2.11,0.59,2.47
6.77,0,2.25,1.88,3.75,1.80,3.34,1.60
6.42,0,2.18,1.05,4.68,2.01,4.46,3.31
6.68,0,2.79,1.95,3.23,1.03,1.98,3.26
8.12,0,1.52,0.85,3.08,2.32,3.17,3.27
10.25,0,4.49,1.70,1.89,4.75,4.36,0.67
4.76,0,1.86,0.88,0.85,2.21,0.77,2.04
8.85,0,3.08,0.95,1.90,1.36,1.24,3.44
4.90,0,3.30,1.36,1.46,0.60,0.00,4.51
7.29,1,1.16,0.90,3.30,1.83,2.90,4.10
4.81,1,2.61,1.42,3.83,1.52,3.14,2.01
1.38,1,3.62,2.34,1.29,2.23,1.46,4.51
1.54,1,4.06,2.06,2.82,0.00,0.72,3.72
5.36,1,2.69,1.16,1.72,2.70,2.18,4.55
7.96,0,0.73,0.50,4.06,3.16,4.97,4.02
4.46,1,2.09,1.57,2.77,2.52,3.31,2.18
5.46,0,2.23,2.09,2.24,0.38,0.48,3.08
6.36,1,2.29,0.96,3.62,1.99,3.27,1.61
5.86,1,2.27,0.89,2.86,2.22,2.89,0.46
7.04,1,0.94,0.69,3.04,1.93,2.67,4.65
4.88,1,3.19,2.04,4.32,2.15,4.13,3.91
0.00,1,4.40,2.90,2.10,3.59,3.52,0.45
4.96,1,2.68,2.06,3.89,2.51,4.17,1.35
7.99,0,1.61,1.37,4.66,1.80,4.23,3.69
7.87,0,2.18,1.28,3.36,2.32,3.36,4.15
5.85,1,1.70,0.00,4.32,4.01,6.07,3.69
8.38,0,2.58,1.45,2.37,2.30,2.39,2.37
5.13,1,2.11,1.73,1.47,2.71,1.93,4.19
8.75,0,3.47,1.93,3.26,0.11,1.19,3.63
7.05,0,3.24,1.93,3.54,2.40,3.86,1.61
3.06,1,2.65,1.61,1.59,3.57,2.94,2.73
4.76,1,3.95,1.22,3.11,3.48,4.39,2.51
5.65,1,2.91,1.17,2.15,3.37,3.43,2.19
7.73,0,2.95,1.98,0.98,3.92,2.63,4.21
8.98,0,4.14,1.65,2.53,3.12,3.28,3.73
5.99,1,2.11,1.01,3.69,3.38,4.84,2.74
7.59,0,3.42,2.11,2.04,1.50,1.43,1.99
6.32,0,3.47,2.58,2.27,2.65,2.65,2.51
4.99,0,3.63,2.03,0.63,1.65,0.01,3.35
7.23,0,2.74,1.77,3.02,1.17,2.13,1.73
6.17,0,4.81,2.77,0.48,1.82,0.12,2.21
2.03,1,4.33,1.70,2.38,3.16,3.28,4.99
6.17,1,2.72,0.95,2.65,2.70,3.07,2.94
6.86,0,1.95,0.77,0.00,3.33,1.00,4.83
7.16,1,2.24,1.03,2.56,3.23,3.63,3.19
4.76,1,2.75,1.29,3.23,2.64,3.76,4.66
4.31,1,3.40,2.28,2.64,3.70,4.13,3.00
5.80,1,2.74,1.31,3.78,1.99,3.56,2.64
5.38,1,1.51,0.75,4.44,1.34,3.58,3.10
6.90,0,3.45,2.44,2.67,4.96,5.38,1.52
2.35,1,2.99,2.70,3.75,3.96,5.62,2.31
2.91,0,4.49,2.98,0.94,2.62,1.37,2.31
4.83,0,0.51,0.72,3.49,0.80,1.83,2.91
6.05,0,3.64,2.06,1.41,3.62,2.97,1.75
7.74,1,2.46,1.20,5.48,1.98,5.39,4.11
4.95,1,2.81,2.19,3.56,3.33,4.74,1.92
8.58,1,1.57,1.29,4.57,1.61,4.17,3.33
8.72,0,2.21,1.06,3.11,1.82,2.84,1.51
7.58,1,1.74,0.84,3.91,3.93,5.58,4.60
3.67,1,3.81,2.22,3.37,3.90,5.06,0.00
7.57,0,1.55,0.87,3.45,2.65,3.97,3.59
5.49,1,2.30,1.43,2.15,2.36,2.31,3.84
5.53,1,2.49,1.26,4.18,1.37,3.32,1.99
8.63,1,1.66,1.07,3.90,2.69,4.31,2.39
