ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y1,Y2
1,4.09,6.74,3.69,3.97,4.48,5.50,6.31,5.12,3.97,22.61,
2,4.96,4.30,5.40,5.65,4.03,5.28,5.49,5.71,4.06,23.79,
3,4.72,3.72,3.98,5.07,4.44,5.76,7.01,6.63,5.11,21.77,
4,4.64,5.43,5.59,3.46,5.54,3.01,4.48,4.26,6.03,24.63,
5,3.14,5.24,5.16,5.29,3.69,5.33,5.98,5.45,3.88,22.22,
6,3.23,3.99,6.19,5.44,5.48,4.33,5.15,6.25,5.11,25.37,
7,4.68,6.06,4.91,5.20,4.94,5.41,4.05,5.00,5.25,25.74,
8,6.63,4.82,6.01,5.76,4.32,3.58,4.16,4.80,4.90,26.42,
9,4.81,4.44,5.47,5.15,5.39,4.48,3.29,4.38,6.09,25.53,
10,4.68,6.45,4.33,4.06,3.70,3.89,3.67,4.84,4.30,22.11,
11,4.66,5.68,5.71,3.01,3.53,5.26,5.00,4.37,6.43,22.65,
12,3.84,5.02,5.83,4.32,5.33,5.75,7.62,4.60,4.51,24.35,
13,6.43,5.84,4.95,4.44,5.08,6.64,5.53,5.56,5.29,26.27,
14,4.13,6.52,5.04,5.49,5.12,3.81,5.18,4.24,3.23,27.23,
15,4.55,4.76,4.66,6.22,3.55,4.40,4.76,5.77,6.06,23.57,
16,3.21,3.37,6.44,5.71,5.80,4.97,4.95,5.14,4.17,24.60
17,3.48,4.42,4.65,4.38,4.64,3.81,5.31,5.65,4.85,21.54
18,6.01,5.79,5.49,4.44,4.10,5.98,4.74,4.95,5.92,26.52
19,5.74,4.52,4.50,5.40,6.47,4.10,5.54,3.47,5.56,25.74
20,5.58,3.46,4.72,5.21,5.25,5.18,5.03,4.83,5.00,24.08
21,5.01,4.53,6.34,5.63,4.08,4.18,3.33,6.77,6.75,25.00
22,4.12,5.22,4.68,4.15,6.23,5.30,4.73,5.79,5.18,24.81
23,6.52,3.74,6.57,5.74,6.82,4.90,3.52,4.47,4.14,28.04
