Year,Unr,Bms,Ipd,Gdp,Exp,Time
1959,5.450,297.8,18.340,2818.0,83.9,1
1960,5.542,312.4,18.596,2867.6,98.5,2
1961,6.692,335.5,18.805,2933.3,99.0,3
1962,5.567,362.7,19.062,3119.0,104.0,4
1963,5.642,393.2,19.265,3248.8,111.5,5
1964,5.158,424.7,19.563,3426.3,124.6,6
1965,4.508,459.2,19.919,3659.2,128.1,7
1966,3.792,480.2,20.484,3910.2,137.0,8
1967,3.842,524.8,21.115,4018.2,140.1,9
1968,3.558,566.8,22.012,4225.6,151.1,10
1969,3.492,587.9,23.099,4358.6,158.4,11
1970,4.983,626.5,24.317,4352.0,175.5,12
1971,5.950,710.3,25.533,4506.9,178.4,13
1972,5.600,802.3,26.634,4755.8,191.8,14
1973,4.858,855.5,28.112,4991.2,228.0,15
1974,5.642,902.1,30.664,4926.2,246.0,16
1975,8.475,1016.2,33.563,4872.0,244.5,17
1976,7.700,1152.0,35.489,5189.2,255.1,18
1977,7.050,1270.3,37.751,5464.4,261.3,19
1978,6.067,1366.0,40.400,5763.2,288.8,20
1979,5.850,1473.7,43.761,5903.3,317.5,21
1980,7.175,1599.8,47.751,5789.6,351.7,22
1981,7.617,1755.5,52.225,5944.7,356.0,23
1982,9.708,1909.3,55.412,5865.4,328.8,24
1983,9.600,2125.7,57.603,6208.3,320.3,25
1984,7.508,2308.8,59.766,6745.4,346.4,26
1985,7.192,2494.6,61.576,7045.3,357.0,27
1986,7.000,2731.6,62.937,7303.3,384.4,28
1987,6.175,2831.0,64.764,7518.4,425.7,29
1988,5.492,2993.9,66.988,7758.8,493.9,30
1989,5.258,3158.4,69.518,7990.9,550.6,31
1990,5.617,3276.8,72.201,8104.6,600.2,32
1991,6.850,3377.1,74.760,8034.6,640.0,33
1992,7.492,3429.3,76.533,8309.6,684.0,34
1993,6.908,3479.6,78.224,8592.9,706.4,35
1994,6.100,3493.8,79.872,8976.0,768.0,36
1995,5.592,3637.8,81.536,9189.0,845.7,37
1996,5.408,3818.3,83.088,9542.0,916.0,38
1997,4.942,4033.1,84.555,9992.8,1025.1,39
1998,4.500,4375.0,85.511,10539.9,1048.5,40
1999,4.217,4634.6,86.768,11141.1,1094.3,41
2000,3.967,4916.0,88.647,11681.4,1188.3,42
2001,4.742,5431.5,90.650,11825.7,1121.6,43
2002,5.783,5776.4,92.118,12107.7,1099.2,44
2003,5.992,6064.9,94.100,12449.2,1116.8,45
2004,5.542,6408.6,96.770,12952.5,1222.8,46
2005,5.083,6674.4,100.000,13361.1,1305.1,47
2006,4.608,7066.0,103.257,13705.7,1422.0,48
2007,4.617,7494.7,106.296,13883.9,1554.4,49
2008,5.800,8248.3,108.619,13729.4,1647.7,50
2009,9.275,8530.9,109.615,13233.6,1490.7,51
2010,9.633,8817.0,110.659,13663.6,1665.5,52
