Tax,Price
1639,205.0
1088,208.0
1193,215.0
1635,215.0
1732,199.9
1534,190.0
1765,180.0
1161,156.0
1010,144.9
1191,137.5
930,127.0
984,125.0
1112,123.5
600,117.0
733,118.0
794,115.5
867,111.0
750,113.9
923,99.5
743,99.5
752,97.5
696,97.5
731,90.0
768,96.0
653,86.0
1142,169.5
1035,155.3
1076,130.0
626,102.0
600,102.0
668,92.2
553,92.5
566,89.9
600,85.0
591,89.0
599,87.0
477,70.0
398,72.0
656,74.9
585,73.1
490,72.5
440,67.0
1487,215.0
1265,159.9
939,135.0
1232,129.9
1141,125.0
810,123.9
899,120.0
800,112.5
865,110.0
1076,108.0
875,105.0
690,104.9
648,95.5
820,93.4
456,87.5
723,88.9
780,85.5
638,83.5
673,81.0
821,80.5
671,79.9
649,75.0
461,75.9
486,75.0
427,73.0
513,72.9
504,71.0
622,67.0
342,61.9
1200,129.5
700,97.5
701,93.9
585,82.0
600,78.0
391,77.0
591,70.0
1209,210.0
447,72.5
426,58.0
915,184.4
1189,158.0
481,69.9
867,116.0
816,110.9
725,112.9
800,105.0
750,104.5
944,105.0
811,102.0
668,100.0
826,103.0
880,97.5
900,95.0
647,94.0
866,92.0
810,94.5
707,87.4
721,87.2
638,87.0
694,86.9
634,76.6
541,73.9
