Year,Name,Win,Nom,DOd,DGd,DGm,DPg
2006,Babel,0,7,1,1,0,0
2006,Departed,1,5,1,0,0,0
2006,Letters,0,4,1,0,0,0
2006,Sunshine,0,4,0,0,0,1
2006,Queen,0,6,1,0,0,0
2005,Brokeback,0,8,1,1,0,1
2005,Capote,0,5,1,0,0,0
2005,Crash,1,6,1,0,0,0
2005,Goodnight,0,6,1,0,0,0
2005,Munich,0,5,1,0,0,0
2004,Aviator,0,11,1,1,0,1
2004,Neverland,0,7,0,0,0,0
2004,Million,1,7,1,0,0,0
2004,Ray,0,6,1,0,0,0
2004,Sideways,0,5,1,0,1,0
2003,Lost,0,4,1,0,1,0
2003,Master,0,10,1,0,0,0
2003,Mystic,0,6,1,0,0,0
2003,Return,1,11,1,1,0,1
2003,Seabiscuit,0,7,0,0,0,0
2002,Chicago,1,13,1,0,1,1
2002,Gangs,0,10,1,0,0,0
2002,Hours,0,9,1,1,0,0
2002,Pianist,0,7,1,0,0,0
2002,Towers,0,6,0,0,0,0
2001,Beautiful,1,8,1,1,0,0
2001,Bedroom,0,5,0,0,0,0
2001,Fellowship,0,13,1,0,0,0
2001,Gosford,0,7,1,0,0,0
2001,Moulin,0,8,0,0,1,1
2000,Brockovich,0,5,1,0,0,0
2000,Chocolat,0,5,0,0,0,0
2000,Crouching,0,10,1,0,0,0
2000,Gladiator,1,12,1,1,0,1
2000,Traffic,0,5,1,0,0,0
1999,American,1,8,1,1,0,1
1999,Cider,0,7,1,0,0,0
1999,Green,0,4,0,0,0,0
1999,Insider,0,7,1,0,0,0
1999,Sixth,0,6,1,0,0,0
1998,Beautiful,0,7,1,0,0,0
1998,Elizabeth,0,7,0,0,0,0
1998,Saving,0,11,1,1,0,1
1998,Shakespeare,1,13,1,0,1,0
1998,Thin,0,7,1,0,0,0
1997,Gets,0,7,0,0,1,0
1997,LA,0,9,1,0,0,0
1997,Monty,0,4,1,0,0,0
1997,Titanic,1,14,1,1,0,1
1997,Will,0,9,1,0,0,0
1996,English,1,12,1,1,0,1
1996,Fargo,0,7,1,0,0,0
1996,Jerry,0,5,0,0,0,0
1996,Secrets,0,5,1,0,0,0
1996,Shine,0,7,1,0,0,0
1995,Apollo,0,9,0,0,0,1
1995,Babe,0,7,1,0,1,0
1995,Braveheart,1,10,1,0,0,0
1995,Postino,0,5,1,0,0,0
1995,Sense,0,7,0,1,0,0
1994,Forrest,1,13,1,1,0,1
1994,Pulp,0,7,1,0,0,0
1994,Quiz,0,4,1,0,0,0
1994,Shawshank,0,7,0,0,0,0
1994,Weddings,0,2,0,0,0,0
1993,Fugitive,0,7,0,0,0,0
1993,Name,0,7,1,0,0,0
1993,Piano,0,8,1,0,0,0
1993,Remains,0,8,1,0,0,0
1993,Schindler,1,12,1,1,0,1
1992,Crying,0,6,1,0,0,1
1992,Few,0,4,0,0,0,0
1992,Howards,0,9,1,0,0,0
1992,Scent,0,4,1,1,0,0
1992,Unforgiven,1,9,1,0,0,0
1991,Beauty,0,6,0,0,1,0
1991,Bugsy,0,10,1,1,0,0
1991,JFK,0,8,1,0,0,0
1991,Prince,0,7,0,0,0,0
1991,Silence,1,7,1,0,0,1
1990,Awakenings,0,3,0,0,0,0
1990,Dances,1,12,1,1,0,1
1990,Ghost,0,5,0,0,0,0
1990,Godfather3,0,7,1,0,0,0
1990,Goodfellas,0,6,1,0,0,0
1989,Born,0,8,1,1,0,0
1989,Driving,1,9,0,0,1,1
1989,Field,0,3,0,0,0,0
1989,Left,0,5,1,0,0,0
1989,Poets,0,4,1,0,0,0
1988,Accidental,0,4,0,0,0,0
1988,Dangerous,0,7,0,0,0,0
1988,Mississippi,0,7,1,0,0,0
1988,Rain,1,8,1,1,0,1
1988,Working,0,6,1,0,1,0
1987,Broadcast,0,7,0,0,0,0
1987,Emperor,1,9,1,1,0,1
1987,Fatal,0,6,1,0,0,0
1987,Hope,0,5,1,0,1,0
1987,Moonstruck,0,6,1,0,0,0
1986,Children,0,5,0,0,0,0
1986,Hannah,0,7,1,0,1,0
1986,Mission,0,7,1,0,0,0
1986,Platoon,1,8,1,1,0,1
1986,Room,0,8,1,0,0,0
1985,Africa,1,11,1,1,0,0
1985,Color,0,11,0,0,0,1
1985,Kiss,0,4,1,0,0,0
1985,Prizzi,0,8,1,0,1,0
1985,Witness,0,8,1,0,0,0
1984,Amadeus,1,11,1,1,0,1
1984,Killing,0,7,1,0,0,0
1984,Passage,0,11,1,0,0,0
1984,Places,0,7,1,0,0,0
1984,Soldier,0,3,0,0,0,0
1983,Chill,0,3,0,0,0,0
1983,Dresser,0,5,1,0,0,0
1983,Stuff,0,8,0,0,0,0
1983,Tender,0,5,1,0,0,0
1983,Terms,1,11,1,1,0,1
1982,ET,0,9,1,1,0,0
1982,Gandhi,1,11,1,0,0,1
1982,Missing,0,4,0,0,0,0
1982,Tootsie,0,10,1,0,1,0
1982,Verdict,0,5,1,0,0,0
1981,Atlantic,0,5,1,0,0,0
1981,Chariots,1,7,1,0,0,0
1981,Golden,0,10,1,1,0,0
1981,Raiders,0,9,1,0,0,0
1981,Reds,0,12,1,0,0,1
1980,Coal,0,7,0,0,1,0
1980,Elephant,0,8,1,0,0,0
1980,Ordinary,1,6,1,1,0,1
1980,Raging,0,8,1,0,0,0
1980,Tess,0,6,1,0,0,0
1979,Apocalypse,0,8,1,0,0,0
1979,Breaking,0,5,1,0,1,0
1979,Jazz,0,9,1,0,0,0
1979,Kramer,1,9,1,1,0,1
1979,Norma,0,4,0,0,0,0
1978,Coming,0,8,1,0,0,0
1978,Deer,1,9,1,0,0,1
1978,Heaven,0,9,1,0,1,0
1978,Midnight,0,6,1,1,0,0
1978,Unmarried,0,3,0,0,0,0
1977,Annie,1,5,1,0,0,1
1977,Goodbye,0,5,0,0,1,0
1977,Julia,0,11,1,0,0,0
1977,Star,0,11,1,0,0,0
1977,Turning,0,11,1,1,0,0
1976,Bound,0,6,0,0,0,0
1976,Network,0,10,1,0,0,0
1976,President,0,8,1,0,0,0
1976,Rocky,1,10,1,1,0,1
1976,Taxi,0,4,0,0,0,0
1975,Cuckoo,1,9,1,1,0,1
1975,Dog,0,6,1,0,0,0
1975,Jaws,0,4,0,0,0,0
1975,Lyndon,0,7,1,0,0,0
1975,Nashville,0,5,1,0,0,0
1974,Chinatown,0,11,1,1,0,0
1974,Conversation,0,3,0,0,0,0
1974,Godfather2,1,11,1,0,0,1
1974,Inferno,0,8,0,0,0,0
1974,Lenny,0,6,1,0,0,0
1973,Cries,0,5,1,0,0,0
1973,Exorcist,0,10,1,1,0,0
1973,Graffiti,0,5,1,0,1,0
1973,Sting,1,10,1,0,0,1
1973,Touch,0,5,0,0,0,0
1972,Cabaret,0,10,1,0,1,0
1972,Deliverance,0,3,1,0,0,0
1972,Emigrants,0,4,1,0,0,0
1972,Godfather,1,10,1,1,0,1
1972,Sounder,0,4,0,0,0,0
1971,Clockwork,0,4,1,0,0,0
1971,Fiddler,0,8,1,0,1,0
