Dos,Gap,Exp,Diff
25,45.72,30,-21
25,45.72,60,-16
25,45.72,90,-7
25,45.72,120,6
25,43.18,30,-12
25,43.18,60,6
25,43.18,90,2
25,43.18,120,14
25,41.40,30,-7
25,41.40,60,17
25,41.40,90,16
25,41.40,120,14
25,40.39,30,16
25,40.39,60,21
25,40.39,120,32
25,39.62,30,5
25,39.62,60,16
25,39.62,120,24
25,38.86,30,16
25,38.86,60,18
25,38.86,120,24
25,37.67,10,-20
25,37.67,30,14
25,37.67,60,14
25,37.67,120,23
25,36.45,10,-17
25,36.45,30,19
25,36.45,60,22
25,36.45,120,27
50,45.72,90,-20
50,43.18,90,-13
50,43.18,120,-5
50,41.40,60,-4
50,41.40,90,-6
50,41.40,120,11
50,39.62,90,-6
50,38.86,30,-19
50,38.86,90,15
50,38.86,120,13
50,36.45,10,-23
50,36.45,30,-20
50,36.45,60,-9
50,36.45,120,13
75,45.72,90,-21
75,45.72,120,-22
75,43.18,90,-19
75,41.40,60,-16
75,41.40,90,-6
75,41.40,120,6
75,39.62,90,20
75,39.62,120,15
75,38.86,30,-19
75,38.86,120,17
75,38.86,90,18
75,36.45,10,-22
75,36.45,30,-20
75,36.45,60,-3
75,36.45,120,14
100,45.72,90,-25
100,45.72,120,-23
100,41.40,60,-19
100,39.62,90,14
100,39.62,120,15
100,38.86,30,-18
100,38.86,120,19
100,38.86,90,11
100,36.45,10,-24
100,36.45,30,-22
100,36.45,60,-18
100,36.45,120,16
